 27
 11
 Generic
 Generic
 Generic

 WORLD
      YEARS  FossilCO2   OtherCO2        CH4        N2O        SOx         CO      NMVOC        NOx         BC         OC        NH3        CF4       C2F6      C6F14      HFC23      HFC32   HFC43-10     HFC125    HFC134a    HFC143a   HFC227ea   HFC245fa        SF6
        Yrs        GtC        GtC      MtCH4    MtN2O-N        MtS       MtCO         Mt        MtN         Mt         Mt        MtN         kt         kt         kt         kt         kt         kt         kt         kt         kt         kt         kt         kt
       1990     6.1440     1.3195   340.6350     7.5857    63.9485  1099.0096   222.6191    37.8354     7.7159    35.0200    40.0185    11.9977     2.0736     0.4624    10.3949     4.0000     0.0000     0.1859     1.0102     0.8892     0.0000     0.0000     5.5208
       1991     6.2350     1.3810   336.5922     7.4024    62.6301  1095.9087   221.4195    37.8681     7.7248    35.0723    40.0185    11.9979     2.3729     0.4624    10.3949     4.0000     0.0000     0.1909     2.1776     0.9026     0.0047     0.0000     5.7844
       1992     6.1180     1.3035   332.5494     7.7989    60.5403  1092.8078   220.2199    37.9008     7.7336    35.1247    40.0185    11.9981     2.3731     0.4624    10.3949     4.0000     0.0000     0.2889     4.2080     1.6287     0.0047     0.0000     5.7862
       1993     6.1240     1.2981   328.5066     7.3131    59.4410  1089.7070   219.0203    37.9335     7.7425    35.1770    40.0185    11.9984     2.3734     0.4624    10.3949     4.0000     0.0000     0.3768     8.4162     2.3686     0.1850     0.0000     6.3118
       1994     6.2420     1.2896   324.4638     7.5073    58.3433  1086.6061   217.8207    37.9662     7.7514    35.2294    40.0185    11.9986     2.3736     0.4624    10.3949     4.0000     0.0000     1.8251    21.3991     3.8348     0.1820     0.0000     5.0042
       1995     6.3720     1.2750   320.4209     7.6191    57.1863  1083.5052   216.6210    37.9989     7.7603    35.2817    40.0185    10.5017     2.3739     0.4624    10.3949     4.0000     0.0000     2.9802    29.7261     6.0410     0.1000     0.0000     6.0534
       1996     6.5100     1.2511   316.3781     7.6521    56.9296  1080.4043   215.4214    38.0316     7.7692    35.3341    40.0185    11.9991     2.3741     0.4624    10.3949     4.0000     0.0000     3.4189    40.5849     6.1500     0.4370     0.0000     6.0553
       1997     6.6190     1.2181   312.3353     7.9098    56.3769  1077.3034   214.2218    38.0642     7.7781    35.3864    40.0185    11.9993     2.3743     0.4624    10.3949     4.0000     0.0000     5.3540    50.6436     6.2587     0.4080     0.0000     4.4857
       1998     6.5880     1.2148   308.2925     7.8957    55.4169  1074.2026   213.0222    38.0969     7.7870    35.4388    40.0185    11.9996     2.3746     0.4624    10.3949     4.0000     0.0000     7.2032    59.6521     6.3677     0.9280     0.0000     4.7490
       1999     6.5690     1.1828   304.2497     7.5270    53.3959  1071.1017   211.8226    38.1296     7.7959    35.4911    40.0185    10.5027     2.3748     0.4624    10.3949     4.0000     0.0000     8.1532    67.0440     6.4775     1.3539     0.0000     6.3220
       2000     6.7350     1.1488   300.2069     7.4566    53.4968  1068.0008   210.6230    38.1623     7.8048    35.5435    40.0185    12.0001     2.3749     0.4624    10.3949     4.0000     0.0000     8.5381    75.0393     6.2340     1.9509    14.9590     5.5382
       2001     6.8959     1.1320   303.4092     7.5030    53.4959  1066.7448   211.5938    38.2888     7.8945    35.7143    40.3916    11.9250     2.4345     0.4651    10.4328     5.3987     0.6470     9.0301    84.0409     7.4947     1.6449    16.4549     5.6990
       2002     6.9490     1.2317   306.5788     7.5487    52.8122  1065.4691   212.5632    38.4153     7.9842    35.8845    40.7647    11.8481     2.4915     0.4058    10.4708     6.7974     1.2941     9.8852    94.7161     8.7389     2.5080    17.9508     5.8596
       2003     7.2860     1.2257   309.7164     7.5942    53.9771  1064.1741   213.5311    38.5418     8.0734    36.0543    41.1377    11.7693     2.5463     0.3939    10.5083     8.1961     1.9411    12.0788   101.4157     9.9776     3.3410    19.4467     6.0201
       2004     7.6719     1.2429   312.8240     7.6394    55.9022  1062.8596   214.4977    38.6684     8.1623    36.2232    41.5107    11.6885     2.5990     0.4062    10.5455     9.5948     2.5881    12.5073   113.9297    11.2136     4.2690    20.9426     6.1805
       2005     7.9710     1.1955   315.9027     7.6841    57.8278  1061.5255   215.4628    38.7948     8.2512    36.3917    41.8837    11.6059     2.6494     0.4358    10.8117    10.9934     3.2352    13.7591   120.9334    12.4483     4.8901    22.4384     6.3407
       2006     8.0985     1.1385   317.2396     7.7210    63.9860  1057.0145   214.0518    38.5859     8.2245    35.9952    41.9902    11.4110     2.5813     0.4427    10.5530    12.3832     3.8802    14.4509   121.0746    12.7893     5.1614    26.0614     6.4709
