vtag,Model,year,CO2 concentration response,Total forcing response,Temperature response
CO2 (100 PgC),Hector-DOECLIM,2010,0,0,0
CO2 (100 PgC),Hector-DOECLIM,2011,0,0,0
CO2 (100 PgC),Hector-DOECLIM,2012,0,0,0
CO2 (100 PgC),Hector-DOECLIM,2013,0,0,0
CO2 (100 PgC),Hector-DOECLIM,2014,0,0,0
CO2 (100 PgC),Hector-DOECLIM,2015,0,0,0
CO2 (100 PgC),Hector-DOECLIM,2016,23.016,0.3026125,0.0262
CO2 (100 PgC),Hector-DOECLIM,2017,44.243,0.5643278,0.07084
CO2 (100 PgC),Hector-DOECLIM,2018,42.219,0.5369343,0.10319
CO2 (100 PgC),Hector-DOECLIM,2019,40.89,0.5180815,0.12504
CO2 (100 PgC),Hector-DOECLIM,2020,39.881,0.5032006,0.14066
CO2 (100 PgC),Hector-DOECLIM,2021,39.024,0.4902505,0.15225
CO2 (100 PgC),Hector-DOECLIM,2022,38.248,0.4783574,0.16103
CO2 (100 PgC),Hector-DOECLIM,2023,37.524,0.4671435,0.16778
CO2 (100 PgC),Hector-DOECLIM,2024,36.836,0.4564464,0.17299
CO2 (100 PgC),Hector-DOECLIM,2025,36.18,0.4461901,0.177
CO2 (100 PgC),Hector-DOECLIM,2026,35.551,0.4363344,0.18008
CO2 (100 PgC),Hector-DOECLIM,2027,34.95,0.4268551,0.1824
CO2 (100 PgC),Hector-DOECLIM,2028,34.373,0.4177336,0.18412
CO2 (100 PgC),Hector-DOECLIM,2029,33.821,0.4089544,0.18533
CO2 (100 PgC),Hector-DOECLIM,2030,33.29,0.4005036,0.18614
CO2 (100 PgC),Hector-DOECLIM,2031,32.782,0.3923679,0.18661
CO2 (100 PgC),Hector-DOECLIM,2032,32.295,0.384546,0.18679
CO2 (100 PgC),Hector-DOECLIM,2033,31.829,0.3770343,0.18673
CO2 (100 PgC),Hector-DOECLIM,2034,31.392,0.3699503,0.18649
CO2 (100 PgC),Hector-DOECLIM,2035,30.967,0.3630552,0.18609
CO2 (100 PgC),Hector-DOECLIM,2036,30.557,0.356396,0.18555
CO2 (100 PgC),Hector-DOECLIM,2037,30.162,0.3499752,0.18489
CO2 (100 PgC),Hector-DOECLIM,2038,29.783,0.3437996,0.18413
CO2 (100 PgC),Hector-DOECLIM,2039,29.421,0.3378588,0.18329
CO2 (100 PgC),Hector-DOECLIM,2040,29.073,0.332143,0.18238
CO2 (100 PgC),Hector-DOECLIM,2041,28.74,0.3266423,0.18141
CO2 (100 PgC),Hector-DOECLIM,2042,28.422,0.3213572,0.1804
CO2 (100 PgC),Hector-DOECLIM,2043,28.116,0.3162855,0.17936
CO2 (100 PgC),Hector-DOECLIM,2044,27.823,0.3114168,0.17829
CO2 (100 PgC),Hector-DOECLIM,2045,27.542,0.3067419,0.17722
CO2 (100 PgC),Hector-DOECLIM,2046,27.273,0.3022517,0.17612
CO2 (100 PgC),Hector-DOECLIM,2047,27.016,0.297938,0.17501
CO2 (100 PgC),Hector-DOECLIM,2048,26.769,0.2937928,0.1739
CO2 (100 PgC),Hector-DOECLIM,2049,26.533,0.2898083,0.17279
CO2 (100 PgC),Hector-DOECLIM,2050,26.306,0.2859773,0.17169
CO2 (100 PgC),Hector-DOECLIM,2051,26.09,0.2822931,0.1706
CO2 (100 PgC),Hector-DOECLIM,2052,25.882,0.2787664,0.16951
CO2 (100 PgC),Hector-DOECLIM,2053,25.683,0.2754049,0.16844
CO2 (100 PgC),Hector-DOECLIM,2054,25.505,0.2723404,0.1674
CO2 (100 PgC),Hector-DOECLIM,2055,25.313,0.2691809,0.16636
CO2 (100 PgC),Hector-DOECLIM,2056,25.133,0.2662143,0.16535
CO2 (100 PgC),Hector-DOECLIM,2057,24.962,0.2634061,0.16435
CO2 (100 PgC),Hector-DOECLIM,2058,24.8,0.2607424,0.16338
CO2 (100 PgC),Hector-DOECLIM,2059,24.644,0.2582058,0.16244
CO2 (100 PgC),Hector-DOECLIM,2060,24.495,0.2557866,0.16152
CO2 (100 PgC),Hector-DOECLIM,2061,24.354,0.2534777,0.16063
CO2 (100 PgC),Hector-DOECLIM,2062,24.217,0.2512809,0.15976
CO2 (100 PgC),Hector-DOECLIM,2063,24.085,0.2491961,0.15892
CO2 (100 PgC),Hector-DOECLIM,2064,23.958,0.2472181,0.15811
CO2 (100 PgC),Hector-DOECLIM,2065,23.837,0.2453418,0.15733
CO2 (100 PgC),Hector-DOECLIM,2066,23.719,0.2435628,0.15657
CO2 (100 PgC),Hector-DOECLIM,2067,23.607,0.2418764,0.15584
CO2 (100 PgC),Hector-DOECLIM,2068,23.498,0.2402788,0.15514
CO2 (100 PgC),Hector-DOECLIM,2069,23.393,0.2387658,0.15446
CO2 (100 PgC),Hector-DOECLIM,2070,23.293,0.2373337,0.15381
CO2 (100 PgC),Hector-DOECLIM,2071,23.196,0.2359792,0.1532
CO2 (100 PgC),Hector-DOECLIM,2072,23.102,0.2347054,0.15261
CO2 (100 PgC),Hector-DOECLIM,2073,23.011,0.2335141,0.15203
CO2 (100 PgC),Hector-DOECLIM,2074,22.924,0.2324015,0.1515
CO2 (100 PgC),Hector-DOECLIM,2075,22.828,0.2312541,0.15098
CO2 (100 PgC),Hector-DOECLIM,2076,22.747,0.2303047,0.15048
CO2 (100 PgC),Hector-DOECLIM,2077,22.664,0.2293826,0.15001
CO2 (100 PgC),Hector-DOECLIM,2078,22.584,0.2285355,0.14957
CO2 (100 PgC),Hector-DOECLIM,2079,22.507,0.22776,0.14916
CO2 (100 PgC),Hector-DOECLIM,2080,22.432,0.2270431,0.14878
CO2 (100 PgC),Hector-DOECLIM,2081,22.358,0.2263906,0.14841
CO2 (100 PgC),Hector-DOECLIM,2082,22.287,0.2257696,0.14807
CO2 (100 PgC),Hector-DOECLIM,2083,22.22,0.2251673,0.14775
CO2 (100 PgC),Hector-DOECLIM,2084,22.155,0.2245762,0.14745
CO2 (100 PgC),Hector-DOECLIM,2085,22.092,0.2239886,0.14716
CO2 (100 PgC),Hector-DOECLIM,2086,22.03,0.2234047,0.14688
CO2 (100 PgC),Hector-DOECLIM,2087,21.971,0.222823,0.14661
CO2 (100 PgC),Hector-DOECLIM,2088,21.913,0.2222435,0.14634
CO2 (100 PgC),Hector-DOECLIM,2089,21.856,0.2216666,0.14609
CO2 (100 PgC),Hector-DOECLIM,2090,21.801,0.2210924,0.14584
