Experiment ,Time,Model,CH4 concentration response ,CO2 concentration response,Total forcing response,Temperature response
CH4 emissions impulse,2010,Hector v2.0,0,0,0,0
CH4 emissions impulse,2011,Hector v2.0,0,0,0,0
CH4 emissions impulse,2012,Hector v2.0,0,0,0,0
CH4 emissions impulse,2013,Hector v2.0,0,0,0,0
CH4 emissions impulse,2014,Hector v2.0,0,0,0,0
CH4 emissions impulse,2015,Hector v2.0,118.35,0,0.0582175,0
CH4 emissions impulse,2016,Hector v2.0,108.09,0,0.0531898,0.00504
CH4 emissions impulse,2017,Hector v2.0,98.7,0.007,0.0486744,0.00884
CH4 emissions impulse,2018,Hector v2.0,90.13,0.016,0.04458,0.0111
CH4 emissions impulse,2019,Hector v2.0,82.31,0.025,0.0408419,0.01245
CH4 emissions impulse,2020,Hector v2.0,75.16,0.033,0.0374221,0.0132
CH4 emissions impulse,2021,Hector v2.0,68.64,0.04,0.0342968,0.01357
CH4 emissions impulse,2022,Hector v2.0,62.68,0.046,0.0314408,0.01368
CH4 emissions impulse,2023,Hector v2.0,57.25,0.052,0.0288312,0.01358
CH4 emissions impulse,2024,Hector v2.0,52.29,0.058,0.0264473,0.01338
CH4 emissions impulse,2025,Hector v2.0,47.77,0.063,0.0242701,0.01307
CH4 emissions impulse,2026,Hector v2.0,43.64,0.067,0.0222814,0.01271
CH4 emissions impulse,2027,Hector v2.0,39.87,0.071,0.0204653,0.01231
CH4 emissions impulse,2028,Hector v2.0,36.42,0.074,0.0188067,0.01188
CH4 emissions impulse,2029,Hector v2.0,33.28,0.078,0.0172918,0.01145
CH4 emissions impulse,2030,Hector v2.0,30.41,0.081,0.0159081,0.01101
CH4 emissions impulse,2031,Hector v2.0,27.8,0.083,0.014645,0.01057
CH4 emissions impulse,2032,Hector v2.0,25.4,0.086,0.0134915,0.01014
CH4 emissions impulse,2033,Hector v2.0,23.22,0.089,0.0124381,0.00971
CH4 emissions impulse,2034,Hector v2.0,21.22,0.09,0.011475,0.0093
CH4 emissions impulse,2035,Hector v2.0,19.4,0.093,0.0105954,0.0089
CH4 emissions impulse,2036,Hector v2.0,17.73,0.094,0.0097916,0.00853
CH4 emissions impulse,2037,Hector v2.0,16.21,0.096,0.0090568,0.00815
CH4 emissions impulse,2038,Hector v2.0,14.82,0.097,0.0083849,0.0078
CH4 emissions impulse,2039,Hector v2.0,13.55,0.098,0.0077702,0.00747
CH4 emissions impulse,2040,Hector v2.0,12.39,0.099,0.0072079,0.00715
CH4 emissions impulse,2041,Hector v2.0,11.32,0.1,0.0066937,0.00684
CH4 emissions impulse,2042,Hector v2.0,10.36,0.101,0.006223,0.00655
CH4 emissions impulse,2043,Hector v2.0,9.47,0.102,0.0057925,0.00628
CH4 emissions impulse,2044,Hector v2.0,8.66,0.102,0.0053982,0.00602
CH4 emissions impulse,2045,Hector v2.0,7.91,0.103,0.0050371,0.00577
CH4 emissions impulse,2046,Hector v2.0,7.24,0.103,0.0047063,0.00554
CH4 emissions impulse,2047,Hector v2.0,6.63,0.104,0.004403,0.00531
CH4 emissions impulse,2048,Hector v2.0,6.06,0.104,0.004125,0.0051
CH4 emissions impulse,2049,Hector v2.0,5.54,0.104,0.00387,0.0049
CH4 emissions impulse,2050,Hector v2.0,5.06,0.104,0.0036361,0.00471
CH4 emissions impulse,2051,Hector v2.0,4.63,0.105,0.0034217,0.00454
CH4 emissions impulse,2052,Hector v2.0,4.24,0.105,0.0032249,0.00437
CH4 emissions impulse,2053,Hector v2.0,3.87,0.104,0.0030445,0.00421
CH4 emissions impulse,2054,Hector v2.0,3.55,0.104,0.0028783,0.00406
CH4 emissions impulse,2055,Hector v2.0,3.24,0.105,0.0027268,0.00392
CH4 emissions impulse,2056,Hector v2.0,2.96,0.105,0.0025872,0.00378
CH4 emissions impulse,2057,Hector v2.0,2.71,0.104,0.002459,0.00365
CH4 emissions impulse,2058,Hector v2.0,2.48,0.105,0.0023412,0.00353
CH4 emissions impulse,2059,Hector v2.0,2.27,0.104,0.0022327,0.00342
CH4 emissions impulse,2060,Hector v2.0,2.07,0.104,0.0021329,0.00331
CH4 emissions impulse,2061,Hector v2.0,1.89,0.105,0.0020412,0.0032
CH4 emissions impulse,2062,Hector v2.0,1.74,0.104,0.0019568,0.00311
CH4 emissions impulse,2063,Hector v2.0,1.58,0.104,0.0018791,0.00302
CH4 emissions impulse,2064,Hector v2.0,1.45,0.103,0.0018076,0.00293
CH4 emissions impulse,2065,Hector v2.0,1.32,0.103,0.0017418,0.00284
CH4 emissions impulse,2066,Hector v2.0,1.21,0.103,0.0016812,0.00277
