Experiment ,Time,Model,Total forcing response,Temperature response
CO2 concentration impulse,2010,Hector v2.0,0,0
CO2 concentration impulse,2011,Hector v2.0,0,0
CO2 concentration impulse,2012,Hector v2.0,0,0
CO2 concentration impulse,2013,Hector v2.0,0,0
CO2 concentration impulse,2014,Hector v2.0,0,0
CO2 concentration impulse,2015,Hector v2.0,2.1692384,0.18778
CO2 concentration impulse,2016,Hector v2.0,0,0.15765
CO2 concentration impulse,2017,Hector v2.0,0,0.1125
CO2 concentration impulse,2018,Hector v2.0,0,0.08527
CO2 concentration impulse,2019,Hector v2.0,0,0.0675
CO2 concentration impulse,2020,Hector v2.0,0,0.05521
CO2 concentration impulse,2021,Hector v2.0,0,0.04632
CO2 concentration impulse,2022,Hector v2.0,0,0.03966
CO2 concentration impulse,2023,Hector v2.0,0,0.03452
CO2 concentration impulse,2024,Hector v2.0,0,0.03046
CO2 concentration impulse,2025,Hector v2.0,0,0.0272
CO2 concentration impulse,2026,Hector v2.0,0,0.02451
CO2 concentration impulse,2027,Hector v2.0,0,0.02226
CO2 concentration impulse,2028,Hector v2.0,0,0.02037
CO2 concentration impulse,2029,Hector v2.0,0,0.01875
CO2 concentration impulse,2030,Hector v2.0,0,0.01736
CO2 concentration impulse,2031,Hector v2.0,0,0.01614
CO2 concentration impulse,2032,Hector v2.0,0,0.01507
CO2 concentration impulse,2033,Hector v2.0,0,0.01412
CO2 concentration impulse,2034,Hector v2.0,0,0.01328
CO2 concentration impulse,2035,Hector v2.0,0,0.01252
CO2 concentration impulse,2036,Hector v2.0,0,0.01183
CO2 concentration impulse,2037,Hector v2.0,0,0.01122
CO2 concentration impulse,2038,Hector v2.0,0,0.01066
CO2 concentration impulse,2039,Hector v2.0,0,0.01014
CO2 concentration impulse,2040,Hector v2.0,0,0.00967
CO2 concentration impulse,2041,Hector v2.0,0,0.00924
CO2 concentration impulse,2042,Hector v2.0,0,0.00884
CO2 concentration impulse,2043,Hector v2.0,0,0.00847
CO2 concentration impulse,2044,Hector v2.0,0,0.00813
CO2 concentration impulse,2045,Hector v2.0,0,0.0078
