Experiment ,Time,Model,Total forcing response,Temperature response 
CO2 emissions impulse ,2010,Hector v2.0,0,0
CO2 emissions impulse ,2011,Hector v2.0,0,0
CO2 emissions impulse ,2012,Hector v2.0,0,0
CO2 emissions impulse ,2013,Hector v2.0,0,0
CO2 emissions impulse ,2014,Hector v2.0,0,0
CO2 emissions impulse ,2015,Hector v2.0,0,0
CO2 emissions impulse ,2016,Hector v2.0,0.028655,0.00248
CO2 emissions impulse ,2017,Hector v2.0,0.0546434,0.00681
CO2 emissions impulse ,2018,Hector v2.0,0.0518068,0.00995
CO2 emissions impulse ,2019,Hector v2.0,0.0498476,0.01204
CO2 emissions impulse ,2020,Hector v2.0,0.0483009,0.01353
CO2 emissions impulse ,2021,Hector v2.0,0.0469607,0.01463
CO2 emissions impulse ,2022,Hector v2.0,0.0457369,0.01545
CO2 emissions impulse ,2023,Hector v2.0,0.0445891,0.01608
CO2 emissions impulse ,2024,Hector v2.0,0.0434992,0.01656
CO2 emissions impulse ,2025,Hector v2.0,0.0424586,0.01692
CO2 emissions impulse ,2026,Hector v2.0,0.0414619,0.0172
CO2 emissions impulse ,2027,Hector v2.0,0.0405064,0.0174
CO2 emissions impulse ,2028,Hector v2.0,0.0395897,0.01755
CO2 emissions impulse ,2029,Hector v2.0,0.0387099,0.01764
CO2 emissions impulse ,2030,Hector v2.0,0.0378652,0.0177
CO2 emissions impulse ,2031,Hector v2.0,0.0370543,0.01773
CO2 emissions impulse ,2032,Hector v2.0,0.0362763,0.01773
CO2 emissions impulse ,2033,Hector v2.0,0.0355308,0.0177
CO2 emissions impulse ,2034,Hector v2.0,0.0349484,0.01768
CO2 emissions impulse ,2035,Hector v2.0,0.0343025,0.01764
CO2 emissions impulse ,2036,Hector v2.0,0.0336513,0.01758
CO2 emissions impulse ,2037,Hector v2.0,0.0329636,0.01751
CO2 emissions impulse ,2038,Hector v2.0,0.032329,0.01742
CO2 emissions impulse ,2039,Hector v2.0,0.0317297,0.01733
CO2 emissions impulse ,2040,Hector v2.0,0.0311582,0.01723
CO2 emissions impulse ,2041,Hector v2.0,0.0306107,0.01712
CO2 emissions impulse ,2042,Hector v2.0,0.030086,0.01701
CO2 emissions impulse ,2043,Hector v2.0,0.0295826,0.0169
CO2 emissions impulse ,2044,Hector v2.0,0.0290996,0.01678
CO2 emissions impulse ,2045,Hector v2.0,0.0286361,0.01668
CO2 emissions impulse ,2046,Hector v2.0,0.0281913,0.01656
CO2 emissions impulse ,2047,Hector v2.0,0.0277645,0.01644
CO2 emissions impulse ,2048,Hector v2.0,0.0273548,0.01632
CO2 emissions impulse ,2049,Hector v2.0,0.0269613,0.01621
CO2 emissions impulse ,2050,Hector v2.0,0.0265834,0.01609
CO2 emissions impulse ,2051,Hector v2.0,0.0262205,0.01598
CO2 emissions impulse ,2052,Hector v2.0,0.0258727,0.01586
CO2 emissions impulse ,2053,Hector v2.0,0.0255402,0.01575
CO2 emissions impulse ,2054,Hector v2.0,0.0253637,0.01566
CO2 emissions impulse ,2055,Hector v2.0,0.0249587,0.01555
CO2 emissions impulse ,2056,Hector v2.0,0.0246196,0.01545
CO2 emissions impulse ,2057,Hector v2.0,0.0242526,0.01533
CO2 emissions impulse ,2058,Hector v2.0,0.0239705,0.01522
CO2 emissions impulse ,2059,Hector v2.0,0.0237229,0.01512
CO2 emissions impulse ,2060,Hector v2.0,0.0234941,0.01501
CO2 emissions impulse ,2061,Hector v2.0,0.0232781,0.01492
CO2 emissions impulse ,2062,Hector v2.0,0.0230737,0.01483
CO2 emissions impulse ,2063,Hector v2.0,0.0228802,0.01474
CO2 emissions impulse ,2064,Hector v2.0,0.0226971,0.01466
CO2 emissions impulse ,2065,Hector v2.0,0.0225237,0.01459
CO2 emissions impulse ,2066,Hector v2.0,0.0223594,0.01451
CO2 emissions impulse ,2067,Hector v2.0,0.0222039,0.01443
CO2 emissions impulse ,2068,Hector v2.0,0.0220569,0.01437
CO2 emissions impulse ,2069,Hector v2.0,0.0219177,0.01429
CO2 emissions impulse ,2070,Hector v2.0,0.0217861,0.01423
CO2 emissions impulse ,2071,Hector v2.0,0.0216619,0.01418
CO2 emissions impulse ,2072,Hector v2.0,0.0215452,0.01412
CO2 emissions impulse ,2073,Hector v2.0,0.0214365,0.01406
CO2 emissions impulse ,2074,Hector v2.0,0.0213351,0.01401
CO2 emissions impulse ,2075,Hector v2.0,0.0211301,0.01395
CO2 emissions impulse ,2076,Hector v2.0,0.0210571,0.01389
CO2 emissions impulse ,2077,Hector v2.0,0.0210794,0.01385
CO2 emissions impulse ,2078,Hector v2.0,0.0209662,0.01381
CO2 emissions impulse ,2079,Hector v2.0,0.0209132,0.01377
CO2 emissions impulse ,2080,Hector v2.0,0.0208506,0.01374
CO2 emissions impulse ,2081,Hector v2.0,0.0207897,0.0137
CO2 emissions impulse ,2082,Hector v2.0,0.0207371,0.01367
CO2 emissions impulse ,2083,Hector v2.0,0.0206815,0.01364
CO2 emissions impulse ,2084,Hector v2.0,0.020627,0.01361
CO2 emissions impulse ,2085,Hector v2.0,0.020573,0.01359
CO2 emissions impulse ,2086,Hector v2.0,0.0205192,0.01356
CO2 emissions impulse ,2087,Hector v2.0,0.020466,0.01353
CO2 emissions impulse ,2088,Hector v2.0,0.0204133,0.0135
CO2 emissions impulse ,2089,Hector v2.0,0.0203609,0.01348
CO2 emissions impulse ,2090,Hector v2.0,0.0203091,0.01345
CO2 emissions impulse ,2091,Hector v2.0,0.0202577,0.01343
CO2 emissions impulse ,2092,Hector v2.0,0.0202069,0.01341
CO2 emissions impulse ,2093,Hector v2.0,0.0201565,0.01339
CO2 emissions impulse ,2094,Hector v2.0,0.0201067,0.01336
CO2 emissions impulse ,2095,Hector v2.0,0.0197876,0.01332
CO2 emissions impulse ,2096,Hector v2.0,0.0197477,0.01328
CO2 emissions impulse ,2097,Hector v2.0,0.0200018,0.01327
CO2 emissions impulse ,2098,Hector v2.0,0.0198625,0.01326
CO2 emissions impulse ,2099,Hector v2.0,0.0197157,0.01323
